timestamp,brightness,unit
6/29/2023 8:16:41 AM,4.84E-06,W
6/29/2023 8:16:42 AM,4.84E-06,W
6/29/2023 8:16:43 AM,4.83E-06,W
6/29/2023 8:16:44 AM,4.84E-06,W
6/29/2023 8:16:45 AM,4.84E-06,W
6/29/2023 8:16:46 AM,5.02E-06,W
6/29/2023 8:16:47 AM,5.02E-06,W
6/29/2023 8:16:48 AM,5.02E-06,W
6/29/2023 8:16:49 AM,5.02E-06,W
6/29/2023 8:16:50 AM,5.02E-06,W
6/29/2023 8:16:51 AM,5.01E-06,W
6/29/2023 8:16:53 AM,5.13E-06,W
6/29/2023 8:16:54 AM,5.13E-06,W
6/29/2023 8:16:55 AM,5.13E-06,W
6/29/2023 8:16:56 AM,5.13E-06,W
6/29/2023 8:16:57 AM,5.33E-06,W
6/29/2023 8:16:58 AM,5.59E-06,W
6/29/2023 8:16:59 AM,5.59E-06,W
6/29/2023 8:17:00 AM,5.59E-06,W
6/29/2023 8:17:01 AM,5.59E-06,W
6/29/2023 8:17:02 AM,5.59E-06,W
6/29/2023 8:17:03 AM,5.59E-06,W
6/29/2023 8:17:04 AM,5.59E-06,W
6/29/2023 8:17:05 AM,5.59E-06,W
6/29/2023 8:17:06 AM,5.59E-06,W
6/29/2023 8:17:07 AM,5.73E-06,W
6/29/2023 8:17:08 AM,5.73E-06,W
6/29/2023 8:17:09 AM,5.73E-06,W
6/29/2023 8:17:10 AM,5.73E-06,W
6/29/2023 8:17:11 AM,5.84E-06,W
6/29/2023 8:17:12 AM,5.88E-06,W
6/29/2023 8:17:13 AM,5.90E-06,W
6/29/2023 8:17:15 AM,5.89E-06,W
6/29/2023 8:17:16 AM,5.90E-06,W
6/29/2023 8:17:17 AM,5.89E-06,W
6/29/2023 8:17:18 AM,5.99E-06,W
6/29/2023 8:17:19 AM,6.02E-06,W
6/29/2023 8:17:20 AM,6.02E-06,W
6/29/2023 8:17:21 AM,6.02E-06,W
6/29/2023 8:17:22 AM,6.02E-06,W
6/29/2023 8:17:23 AM,6.18E-06,W
6/29/2023 8:17:24 AM,6.18E-06,W
6/29/2023 8:17:25 AM,6.18E-06,W
6/29/2023 8:17:26 AM,6.34E-06,W
6/29/2023 8:17:27 AM,6.35E-06,W
6/29/2023 8:17:28 AM,6.39E-06,W
6/29/2023 8:17:29 AM,6.48E-06,W
6/29/2023 8:17:30 AM,6.43E-06,W
6/29/2023 8:17:31 AM,6.48E-06,W
6/29/2023 8:17:32 AM,6.31E-06,W
6/29/2023 8:17:33 AM,6.45E-06,W
6/29/2023 8:17:34 AM,6.64E-06,W
6/29/2023 8:17:36 AM,6.51E-06,W
6/29/2023 8:17:37 AM,6.51E-06,W
6/29/2023 8:17:38 AM,6.51E-06,W
6/29/2023 8:17:39 AM,6.51E-06,W
6/29/2023 8:17:40 AM,6.51E-06,W
6/29/2023 8:17:41 AM,6.50E-06,W
6/29/2023 8:17:42 AM,6.63E-06,W
6/29/2023 8:17:43 AM,6.74E-06,W
6/29/2023 8:17:44 AM,6.74E-06,W
6/29/2023 8:17:45 AM,6.74E-06,W
6/29/2023 8:17:46 AM,6.85E-06,W
6/29/2023 8:17:47 AM,6.88E-06,W
6/29/2023 8:17:48 AM,6.92E-06,W
6/29/2023 8:17:49 AM,6.92E-06,W
6/29/2023 8:17:50 AM,6.92E-06,W
6/29/2023 8:17:51 AM,6.92E-06,W
6/29/2023 8:17:52 AM,6.92E-06,W
6/29/2023 8:17:53 AM,6.92E-06,W
6/29/2023 8:17:54 AM,7.05E-06,W
6/29/2023 8:17:55 AM,7.05E-06,W
6/29/2023 8:17:57 AM,7.05E-06,W
6/29/2023 8:17:58 AM,7.37E-06,W
6/29/2023 8:17:59 AM,7.54E-06,W
6/29/2023 8:18:00 AM,7.54E-06,W
6/29/2023 8:18:01 AM,7.52E-06,W
6/29/2023 8:18:02 AM,7.52E-06,W
6/29/2023 8:18:03 AM,7.52E-06,W
6/29/2023 8:18:04 AM,7.52E-06,W
6/29/2023 8:18:05 AM,7.52E-06,W
6/29/2023 8:18:06 AM,7.52E-06,W
6/29/2023 8:18:07 AM,7.52E-06,W
6/29/2023 8:18:08 AM,7.67E-06,W
6/29/2023 8:18:09 AM,7.67E-06,W
6/29/2023 8:18:10 AM,7.67E-06,W
6/29/2023 8:18:11 AM,7.67E-06,W
6/29/2023 8:18:12 AM,7.78E-06,W
6/29/2023 8:18:13 AM,7.84E-06,W
6/29/2023 8:18:14 AM,7.84E-06,W
6/29/2023 8:18:15 AM,7.84E-06,W
6/29/2023 8:18:16 AM,7.84E-06,W
6/29/2023 8:18:18 AM,7.90E-06,W
6/29/2023 8:18:19 AM,7.90E-06,W
6/29/2023 8:18:20 AM,7.90E-06,W
6/29/2023 8:18:21 AM,8.00E-06,W
6/29/2023 8:18:22 AM,8.00E-06,W
6/29/2023 8:18:23 AM,8.00E-06,W
6/29/2023 8:18:24 AM,8.13E-06,W
6/29/2023 8:18:25 AM,8.13E-06,W
6/29/2023 8:18:26 AM,8.32E-06,W
6/29/2023 8:18:27 AM,8.32E-06,W
6/29/2023 8:18:28 AM,8.32E-06,W
6/29/2023 8:18:29 AM,8.32E-06,W
6/29/2023 8:18:30 AM,8.32E-06,W
6/29/2023 8:18:31 AM,8.32E-06,W
6/29/2023 8:18:32 AM,8.45E-06,W
6/29/2023 8:18:33 AM,8.45E-06,W
6/29/2023 8:18:34 AM,8.46E-06,W
6/29/2023 8:18:35 AM,8.45E-06,W
6/29/2023 8:18:36 AM,8.51E-06,W
6/29/2023 8:18:37 AM,8.57E-06,W
6/29/2023 8:18:39 AM,8.57E-06,W
6/29/2023 8:18:40 AM,8.53E-06,W
6/29/2023 8:18:41 AM,8.63E-06,W
6/29/2023 8:18:42 AM,8.63E-06,W
6/29/2023 8:18:43 AM,8.63E-06,W
6/29/2023 8:18:44 AM,8.63E-06,W
6/29/2023 8:18:45 AM,8.63E-06,W
6/29/2023 8:18:46 AM,8.63E-06,W
6/29/2023 8:18:47 AM,8.63E-06,W
6/29/2023 8:18:48 AM,8.76E-06,W
6/29/2023 8:18:49 AM,8.76E-06,W
6/29/2023 8:18:50 AM,8.93E-06,W
6/29/2023 8:18:51 AM,8.93E-06,W
6/29/2023 8:18:52 AM,9.09E-06,W
6/29/2023 8:18:53 AM,9.09E-06,W
6/29/2023 8:18:54 AM,9.09E-06,W
6/29/2023 8:18:55 AM,9.09E-06,W
6/29/2023 8:18:56 AM,9.16E-06,W
6/29/2023 8:18:57 AM,9.15E-06,W
6/29/2023 8:18:58 AM,9.27E-06,W
6/29/2023 8:19:00 AM,9.27E-06,W
6/29/2023 8:19:01 AM,9.27E-06,W
6/29/2023 8:19:02 AM,9.40E-06,W
6/29/2023 8:19:03 AM,9.40E-06,W
6/29/2023 8:19:04 AM,9.40E-06,W
6/29/2023 8:19:05 AM,9.40E-06,W
6/29/2023 8:19:06 AM,9.53E-06,W
6/29/2023 8:19:07 AM,9.54E-06,W
6/29/2023 8:19:08 AM,9.69E-06,W
6/29/2023 8:19:09 AM,9.72E-06,W
6/29/2023 8:19:10 AM,9.72E-06,W
6/29/2023 8:19:11 AM,9.72E-06,W
6/29/2023 8:19:12 AM,9.75E-06,W
6/29/2023 8:19:13 AM,9.84E-06,W
6/29/2023 8:19:14 AM,9.81E-06,W
6/29/2023 8:19:15 AM,9.81E-06,W
6/29/2023 8:19:16 AM,9.81E-06,W
6/29/2023 8:19:17 AM,9.78E-06,W
6/29/2023 8:19:18 AM,9.81E-06,W
6/29/2023 8:19:19 AM,9.81E-06,W
6/29/2023 8:19:20 AM,9.88E-06,W
6/29/2023 8:19:22 AM,9.82E-06,W
6/29/2023 8:19:23 AM,9.89E-06,W
6/29/2023 8:19:24 AM,9.88E-06,W
6/29/2023 8:19:25 AM,1.01E-05,W
6/29/2023 8:19:26 AM,1.01E-05,W
6/29/2023 8:19:27 AM,1.01E-05,W
6/29/2023 8:19:28 AM,1.01E-05,W
6/29/2023 8:19:29 AM,1.02E-05,W
6/29/2023 8:19:30 AM,1.02E-05,W
6/29/2023 8:19:31 AM,1.02E-05,W
6/29/2023 8:19:32 AM,1.02E-05,W
6/29/2023 8:19:33 AM,1.02E-05,W
6/29/2023 8:19:34 AM,1.02E-05,W
6/29/2023 8:19:35 AM,1.03E-05,W
6/29/2023 8:19:36 AM,1.03E-05,W
6/29/2023 8:19:37 AM,1.05E-05,W
6/29/2023 8:19:38 AM,1.05E-05,W
6/29/2023 8:19:39 AM,1.07E-05,W
6/29/2023 8:19:40 AM,1.07E-05,W
6/29/2023 8:19:41 AM,1.07E-05,W
6/29/2023 8:19:43 AM,1.07E-05,W
6/29/2023 8:19:44 AM,1.07E-05,W
6/29/2023 8:19:45 AM,1.07E-05,W
6/29/2023 8:19:46 AM,1.07E-05,W
6/29/2023 8:19:47 AM,1.08E-05,W
6/29/2023 8:19:48 AM,1.07E-05,W
6/29/2023 8:19:49 AM,1.08E-05,W
6/29/2023 8:19:50 AM,1.08E-05,W
6/29/2023 8:19:51 AM,1.08E-05,W
6/29/2023 8:19:52 AM,1.08E-05,W
6/29/2023 8:19:53 AM,1.10E-05,W
6/29/2023 8:19:54 AM,1.10E-05,W
6/29/2023 8:19:55 AM,1.10E-05,W
6/29/2023 8:19:56 AM,1.10E-05,W
6/29/2023 8:19:57 AM,1.11E-05,W
6/29/2023 8:19:58 AM,1.11E-05,W
6/29/2023 8:19:59 AM,1.11E-05,W
6/29/2023 8:20:00 AM,1.11E-05,W
6/29/2023 8:20:01 AM,1.11E-05,W
6/29/2023 8:20:02 AM,1.12E-05,W
6/29/2023 8:20:04 AM,1.14E-05,W
6/29/2023 8:20:05 AM,1.14E-05,W
6/29/2023 8:20:06 AM,1.16E-05,W
6/29/2023 8:20:07 AM,1.16E-05,W
6/29/2023 8:20:08 AM,1.16E-05,W
6/29/2023 8:20:09 AM,1.17E-05,W
6/29/2023 8:20:10 AM,1.17E-05,W
6/29/2023 8:20:11 AM,1.17E-05,W
6/29/2023 8:20:12 AM,1.17E-05,W
6/29/2023 8:20:13 AM,1.17E-05,W
6/29/2023 8:20:14 AM,1.17E-05,W
6/29/2023 8:20:15 AM,1.17E-05,W
6/29/2023 8:20:16 AM,1.17E-05,W
6/29/2023 8:20:17 AM,1.17E-05,W
6/29/2023 8:20:18 AM,1.18E-05,W
6/29/2023 8:20:19 AM,1.18E-05,W
6/29/2023 8:20:20 AM,1.18E-05,W
6/29/2023 8:20:21 AM,1.18E-05,W
6/29/2023 8:20:22 AM,1.18E-05,W
6/29/2023 8:20:23 AM,1.19E-05,W
6/29/2023 8:20:25 AM,1.19E-05,W
6/29/2023 8:20:26 AM,1.19E-05,W
6/29/2023 8:20:27 AM,1.20E-05,W
6/29/2023 8:20:28 AM,1.20E-05,W
6/29/2023 8:20:29 AM,1.22E-05,W
6/29/2023 8:20:30 AM,1.23E-05,W
6/29/2023 8:20:31 AM,1.24E-05,W
6/29/2023 8:20:32 AM,1.24E-05,W
6/29/2023 8:20:33 AM,1.24E-05,W
6/29/2023 8:20:34 AM,1.24E-05,W
6/29/2023 8:20:35 AM,1.24E-05,W
6/29/2023 8:20:36 AM,1.24E-05,W
6/29/2023 8:20:37 AM,1.24E-05,W
6/29/2023 8:20:38 AM,1.24E-05,W
6/29/2023 8:20:39 AM,1.24E-05,W
6/29/2023 8:20:40 AM,1.26E-05,W
6/29/2023 8:20:41 AM,1.26E-05,W
6/29/2023 8:20:42 AM,1.26E-05,W
6/29/2023 8:20:43 AM,1.26E-05,W
6/29/2023 8:20:44 AM,1.26E-05,W
6/29/2023 8:20:46 AM,1.26E-05,W
6/29/2023 8:20:47 AM,1.27E-05,W
6/29/2023 8:20:48 AM,1.28E-05,W
6/29/2023 8:20:49 AM,1.28E-05,W
6/29/2023 8:20:50 AM,1.28E-05,W
6/29/2023 8:20:51 AM,1.28E-05,W
6/29/2023 8:20:52 AM,1.28E-05,W
6/29/2023 8:20:53 AM,1.28E-05,W
6/29/2023 8:20:54 AM,1.28E-05,W
6/29/2023 8:20:55 AM,1.28E-05,W
6/29/2023 8:20:56 AM,1.28E-05,W
6/29/2023 8:20:57 AM,1.31E-05,W
6/29/2023 8:20:58 AM,1.31E-05,W
6/29/2023 8:20:59 AM,1.31E-05,W
6/29/2023 8:21:00 AM,1.31E-05,W
6/29/2023 8:21:01 AM,1.31E-05,W
6/29/2023 8:21:02 AM,1.31E-05,W
6/29/2023 8:21:03 AM,1.33E-05,W
6/29/2023 8:21:04 AM,1.33E-05,W
6/29/2023 8:21:05 AM,1.33E-05,W
6/29/2023 8:21:07 AM,1.33E-05,W
6/29/2023 8:21:08 AM,1.33E-05,W
6/29/2023 8:21:09 AM,1.33E-05,W
6/29/2023 8:21:10 AM,1.34E-05,W
6/29/2023 8:21:11 AM,1.36E-05,W
6/29/2023 8:21:12 AM,1.37E-05,W
6/29/2023 8:21:13 AM,1.37E-05,W
6/29/2023 8:21:14 AM,1.37E-05,W
6/29/2023 8:21:15 AM,1.37E-05,W
6/29/2023 8:21:16 AM,1.38E-05,W
6/29/2023 8:21:17 AM,1.38E-05,W
6/29/2023 8:21:18 AM,1.38E-05,W
6/29/2023 8:21:19 AM,1.38E-05,W
6/29/2023 8:21:20 AM,1.38E-05,W
