timestamp,brightness,unit
6/27/2023 5:39:52 PM,1.85E-05,W
6/27/2023 5:39:53 PM,1.84E-05,W
6/27/2023 5:39:54 PM,1.93E-05,W
6/27/2023 5:39:55 PM,1.93E-05,W
6/27/2023 5:39:56 PM,1.93E-05,W
6/27/2023 5:39:57 PM,1.93E-05,W
6/27/2023 5:39:58 PM,2.01E-05,W
6/27/2023 5:39:59 PM,2.01E-05,W
6/27/2023 5:40:00 PM,2.08E-05,W
6/27/2023 5:40:01 PM,2.07E-05,W
6/27/2023 5:40:02 PM,2.08E-05,W
6/27/2023 5:40:03 PM,2.10E-05,W
6/27/2023 5:40:04 PM,2.10E-05,W
6/27/2023 5:40:05 PM,2.10E-05,W
6/27/2023 5:40:06 PM,2.10E-05,W
6/27/2023 5:40:08 PM,2.10E-05,W
6/27/2023 5:40:09 PM,2.18E-05,W
6/27/2023 5:40:10 PM,2.18E-05,W
6/27/2023 5:40:11 PM,2.38E-05,W
6/27/2023 5:40:12 PM,2.38E-05,W
6/27/2023 5:40:13 PM,2.48E-05,W
6/27/2023 5:40:14 PM,2.48E-05,W
6/27/2023 5:40:15 PM,2.48E-05,W
6/27/2023 5:40:16 PM,2.48E-05,W
6/27/2023 5:40:17 PM,2.48E-05,W
6/27/2023 5:40:18 PM,2.48E-05,W
6/27/2023 5:40:19 PM,2.48E-05,W
6/27/2023 5:40:20 PM,2.48E-05,W
6/27/2023 5:40:21 PM,2.48E-05,W
6/27/2023 5:40:22 PM,2.47E-05,W
6/27/2023 5:40:23 PM,2.52E-05,W
6/27/2023 5:40:24 PM,2.55E-05,W
6/27/2023 5:40:25 PM,2.55E-05,W
6/27/2023 5:40:26 PM,2.55E-05,W
6/27/2023 5:40:27 PM,2.55E-05,W
6/27/2023 5:40:29 PM,2.55E-05,W
6/27/2023 5:40:30 PM,2.56E-05,W
6/27/2023 5:40:31 PM,2.56E-05,W
6/27/2023 5:40:32 PM,2.66E-05,W
6/27/2023 5:40:33 PM,2.65E-05,W
6/27/2023 5:40:34 PM,2.66E-05,W
6/27/2023 5:40:35 PM,2.73E-05,W
6/27/2023 5:40:36 PM,2.74E-05,W
6/27/2023 5:40:37 PM,2.73E-05,W
6/27/2023 5:40:38 PM,2.84E-05,W
6/27/2023 5:40:39 PM,2.91E-05,W
6/27/2023 5:40:40 PM,2.91E-05,W
6/27/2023 5:40:41 PM,2.83E-05,W
6/27/2023 5:40:42 PM,2.83E-05,W
6/27/2023 5:40:43 PM,2.83E-05,W
6/27/2023 5:40:44 PM,2.83E-05,W
6/27/2023 5:40:45 PM,2.83E-05,W
6/27/2023 5:40:46 PM,2.83E-05,W
6/27/2023 5:40:47 PM,2.83E-05,W
6/27/2023 5:40:48 PM,2.91E-05,W
6/27/2023 5:40:50 PM,2.91E-05,W
6/27/2023 5:40:51 PM,3.00E-05,W
6/27/2023 5:40:52 PM,2.99E-05,W
6/27/2023 5:40:53 PM,3.08E-05,W
6/27/2023 5:40:54 PM,3.10E-05,W
6/27/2023 5:40:55 PM,3.09E-05,W
6/27/2023 5:40:56 PM,3.11E-05,W
6/27/2023 5:40:57 PM,3.11E-05,W
6/27/2023 5:40:58 PM,3.11E-05,W
6/27/2023 5:40:59 PM,3.11E-05,W
6/27/2023 5:41:00 PM,3.18E-05,W
6/27/2023 5:41:01 PM,3.18E-05,W
6/27/2023 5:41:02 PM,3.18E-05,W
6/27/2023 5:41:03 PM,3.18E-05,W
6/27/2023 5:41:04 PM,3.37E-05,W
6/27/2023 5:41:05 PM,3.45E-05,W
6/27/2023 5:41:06 PM,3.45E-05,W
